"Address","City","Bd1","Bth1","Sqft","LotSz1","LotUnit","Year","Date","Sqft.dollor","DOM.CDOM","OrgPrice","LstPrice","SalPrice","SP.LP","zip"
"737 Brookside Dr","Woodland","3","2 (2 0)",1201,0.155,"ac","Unknown",2013-09-17,191.51,"8/8",217000,"217000","230000",105.99,95776
"1393 Colette Way","Woodland","3-4","2 (2 0)",1249,0.1446,"ac","1976",2013-08-15,184.15,"17/17",239953,"239953","230000",95.85,95776
"700 Barbara Way","Woodland","3","2 (2 0)",1300,0.1607,"ac","1959",2013-10-30,176.92,"4/4",249000,"249000","230000",92.37,95776
"1325 Monroe Ct","Woodland","3","2 (2 0)",1490,0.1265,"ac","1987",2013-10-29,154.36,"10/10",245000,"235000","230000",97.87,95776
"808 Brookside Dr","Woodland","3","2 (2 0)",1201,0.157,"ac","1986",2013-04-03,194.84,"24/24",240000,"239000","234000",97.91,95776
"1285 Camphor Dr","Woodland","3","3 (2 1)",1419,0.135,"ac","1989",2013-11-22,166.95,"33/33",259900,"239900","236900",98.75,95776
"1214 Carriage Dr","Woodland","2","2 (2 0)",1589,0.101,"ac","1989",2013-11-07,151.04,"11/11",249500,"249500","240000",96.19,95776
"1443 Crystal Springs Dr","Woodland","3-4","2 (2 0)",1496,5253,"sf","1988",2013-11-19,160.43,"48/48",250000,"239900","240000",100.04,95776
"1538 Owens Valley Dr","Woodland","4","3 (2 1)",1702,4655,"sf","1990",2013-01-18,141.01,"24/24",249900,"249900","240000",96.04,95776
"638 Thomas St","Woodland","3","2 (2 0)",1795,0.1584,"ac","1973",2013-04-26,133.7,"14/14",235000,"235000","240000",102.13,95776
"1431 Roosevelt Dr","Woodland","3","2 (2 0)",1426,0.12,"ac","1992",2013-05-29,170.13,"7/7",264000,"264900","242600",91.58,95776
"908 Stetson","Woodland","3","2 (2 0)",1400,0.15,"ac","1984",2013-05-20,175.71,"5/5",230000,"230000","246000",106.96,95776
"1436 Crystal Springs Dr","Woodland","3","2 (2 0)",1356,0.135,"ac","1988",2013-11-12,183.63,"49/49",249000,"249000","249000",100,95776
"1452 Bridle Ln","Woodland","3","2 (2 0)",1452,0.151,"ac","1986",2013-11-27,175.62,"5/5",249900,"249900","255000",102.04,95776
"1530 Carmel valley","Woodland","3","2 (2 0)",1506,5227,"sf","1992",2013-06-28,169.32,"30/30",264900,"264900","255000",96.26,95776
"1351 Garfield Pl","Woodland","4","3 (3 0)",2185,0.18,"ac","1990",2013-10-23,117.62,"8/8",259900,"259900","257000",98.88,95776
"1586 Grass Valley Dr","Woodland","4","3 (2 1)",1666,0.1222,"ac","1989",2013-06-28,156.06,"9/9",269900,"269900","260000",96.33,95776
"1369 Tyler Dr","Woodland","3","2 (2 0)",1490,0.1122,"ac","1989",2013-08-27,175.17,"7/7",259000,"259000","261000",100.77,95776
"1257 Camphor Dr","Woodland","2-4","2 (2 0)",2099,0.188,"ac","1989",2013-03-29,126.01,"5/5",264500,"264500","264500",100,95776
"733 Crystal Springs Dr","Woodland","5","2 (2 0)",1656,0.15,"ac","1986",2013-05-14,160.02,"4/4",269000,"269000","265000",98.51,95776
"812 Brookside Dr","Woodland","3","2 (2 0)",1438,0.164,"ac","1987",2013-06-05,187.07,"2/2",263000,"263000","269000",102.28,95776
"1543 Paradise Valley Dr","Woodland","4","3 (3 0)",1666,0.1047,"ac","1989",2013-09-06,161.46,"28/28",262000,"262000","269000",102.67,95776
"1374 Roosevelt Pl","Woodland","3","3 (2 1)",1482,0.1409,"ac","1987",2013-11-25,182.12,"3/3",259900,"259900","269900",103.85,95776
"1566 Carmel Valley Dr","Woodland","3","2 (2 0)",1507,5227,"sf","1992",2013-11-08,179.16,"8/8",265000,"265000","270000",101.89,95776
"904 Sun Valley Ct","Woodland","3","2 (2 0)",1693,0.17,"ac","1994",2013-11-22,175.07,"6/6",294400,"296400","296400",100,95776
"1546 Grass Valley Dr","Woodland","5","3 (2 1)",2425,0.1102,"ac","1989",2013-10-03,123.67,"86/86",324000,"299900","299900",100,95776
"1691 Hoffman St","Woodland","4","3 (3 0)",2392,4979,"sf","2012",2013-03-29,132.31,"104/104",314480,"332480","316480",95.19,95776
"1357 Hughes St","Woodland","4","2 (2 0)",1943,5250,"sf","Under C",2013-06-28,163.94,"47/47",331663,"326663","318543",97.51,95776
"1446 Coolidge Dr","Woodland","4","3 (2 1)",2208,0.18,"ac","1992",2013-04-18,150.36,"1/1",329000,"329000","332000",100.91,95776
"1327 Newton Dr","Woodland","4","3 (3 0)",2801,NA,NA,"2012",2013-10-18,140.66,"29/29",399900,"399900","394000",98.52,95776
"1884 Blowers Dr","Woodland","3","2 (2 0)",1100,0.13,"ac","2005",2013-02-15,147.27,"7/7",139900,"139900","162000",115.8,95776
"1971 Hawkins Ct","Woodland","3","3 (2 1)",1909,0.05,"ac","2009",2013-07-23,100.05,"4/4",185000,"185000","191000",103.24,95776
"1945 Day Ct","Woodland","3","2 (2 0)",2104,0.06,"ac","2008",2013-05-31,91.25,"88/88",200000,"200000","192000",96,95776
"1016 Farnham Ave","Woodland","3","2 (2 0)",1191,0.09,"ac","1997",2013-05-31,163.73,"12/12",202000,"202000","195000",96.53,95776
"916 Garcia Dr","Woodland","3","2 (2 0)",2029,0.13,"ac","2000",2013-06-26,96.6,"119/119",189900,"190000","196000",103.16,95776
"1013 Guerrero Ln","Woodland","3","2 (2 0)",1391,0.13,"ac","1996",2013-05-15,143.06,"1/1",185000,"199000","199000",100,95776
"1774 Elston Cir","Woodland","3","2 (2 0)",1701,0.14,"ac","2003",2013-01-07,120.52,"7/7",205000,"205000","205000",100,95776
"1983 Stephens Ln","Woodland","3","2 (2 0)",1322,0.09,"ac","1996",2013-02-22,155.07,"8/8",209900,"209900","205000",97.67,95776
"1029 Morris Cir","Woodland","2-3","2 (2 0)",1268,5227,"sf","1999",2013-02-08,169.56,"8/8",198500,"198500","215000",108.31,95776
"1665 Brennen Dr","Woodland","2","2 (2 0)",1050,3920,"sf","1998",2013-10-21,204.76,"5/5",214900,"214900","215000",100.05,95776
"1012 Guerrero Ln","Woodland","3","2 (1 1)",1381,0.13,"ac","1996",2013-04-11,158.22,"154/154",210000,"220000","218500",99.32,95776
"1028 Powers Cir","Woodland","4","3 (2 1)",2390,0.13,"ac","1995",2013-01-31,91.84,"6/6",219500,"219500","219500",100,95776
"1012 Farnham Ave","Woodland","3","2 (2 0)",1210,0.09,"ac","1997",2013-09-06,188.68,"51/51",228300,"228300","228300",100,95776
"18 Mulcahy Ct","Woodland","3","2 (2 0)",1447,0.19,"ac","1997",2013-08-13,158.23,"64/64",263900,"233900","228962",97.89,95776
"1896 Blowers Dr","Woodland","3","2 (2 0)",1627,0.14,"ac","2004",2013-02-28,141.36,"12/12",195000,"195000","230000",117.95,95776
"8 Joyce Ct","Woodland","4-5","3 (3 0)",2298,0.13,"ac","1996",2013-02-11,100.48,"17/17",259000,"230900","230900",100,95776
"948 Campbell Circle","Woodland","3","2 (2 0)",1391,0.12,"ac","1996",2013-12-31,171.82,"15/15",239000,"239000","239000",100,95776
"872 Browning Cir","Woodland","4","3 (2 1)",1902,0.11,"ac","1997",2013-01-02,126.18,"73/73",237500,"237500","240000",101.05,95776
"1004 Barnes Cir","Woodland","3","2 (2 0)",1391,0.11,"ac","1995",2013-08-16,174.34,"10/10",229000,"229000","242500",105.9,95776
"10 Hiller Ct","Woodland","4","2 (2 0)",1850,0.14,"ac","1999",2013-03-07,132.43,"11/11",219900,"219900","245000",111.41,95776
"1731 Farnham Ave","Woodland","3","3 (2 1)",1900,0.12,"ac","2004",2013-04-24,129.47,"3/3",235250,"235250","246000",104.57,95776
"1027 Fredericks St","Woodland","4","3 (2 1)",2019,0.12,"ac","1998",2013-05-20,121.84,"2/2",235900,"235900","246000",104.28,95776
"1000 Fredricks St","Woodland","3","2 (2 0)",1262,0.12,"ac","1998",2013-12-27,198.1,"6/6",250000,"250000","250000",100,95776
"647 Azevedo Ct","Woodland","3","3 (2 1)",1796,0.06,"ac","2008",2013-05-29,140.59,"44/44",267500,"267500","252500",94.39,95776
"1920 Morris Cir","Woodland","3","2 (2 0)",1262,0.11,"ac","1999",2013-06-14,200.48,"8/8",225000,"225000","253000",112.44,95776
"787 Elston Cir","Woodland","3","3 (2 1)",1950,0.11,"ac","2005",2013-02-15,129.74,"6/6",249000,"249000","253000",101.61,95776
"994 Losoya Dr","Woodland","4","3 (3 0)",1535,0.1,"ac","1998",2013-08-09,166.12,"4/4",249000,"249000","255000",102.41,95776
"1967 Hawkins Ct","Woodland","3","3 (2 1)",1732,0.06,"ac","2009",2013-09-04,147.23,"2/24",265000,"265000","255000",96.23,95776
"648 Azevedo Ct.","Woodland","3","3 (2 1)",1580,0.06,"ac","2007",2013-08-30,162.66,"23/23",260000,"260000","257000",98.85,95776
"803 Atwell Cir","Woodland","3","2 (2 0)",1455,0.1,"ac","2002",2013-12-26,178.01,"9/9",245000,"245000","259000",105.71,95776
"1735 Farnham Ave","Woodland","3","2 (2 0)",1584,5227,"sf","2004",2013-09-13,164.14,"9/9",239500,"242000","260000",107.44,95776
"964 Campbell Cir","Woodland","4","3 (3 0)",1833,0.2,"ac","1996",2013-03-22,144.57,"11/11",250000,"250000","265000",106,95776
"1737 Elston Cir","Woodland","3-5","0 (0 0)",2408,0.112,"ac","2003",2013-05-01,110.05,"6/6",290000,"260000","265000",101.92,95776
"913 Garcia Dr","Woodland","3-5","3 (2 1)",2029,0.12,"ac","1997",2013-03-13,133.56,"6/6",265000,"265000","271000",102.26,95776
"1801 Elston Cir","Woodland","3","2 (2 0)",1681,0.14,"ac","2003",2013-11-15,163.59,"8/8",279000,"279000","275000",98.57,95776
"1953 Vallejo Ct","Woodland","3","3 (2 1)",1909,0.05,"ac","2007",2013-10-03,144.11,"32/32",275100,"275100","275100",100,95776
"1939 Hershey Dr","Woodland","3-4","2 (2 0)",1857,0.13,"ac","2003",2013-05-09,153.47,"5/5",279900,"279900","285000",101.82,95776
"1802 Losoya Dr","Woodland","4","2 (2 0)",1858,68,"sf","2001",2013-05-16,156.08,"6/6",269000,"269000","290000",107.81,95776
"1619 Gillette","Woodland","3","2 (2 0)",1813,0.16,"ac","2001",2013-07-31,159.96,"5/5",279900,"279900","290000",103.61,95776
"1993 Witham Dr","Woodland","4","2 (2 0)",1965,0.22,"ac","1998",2013-01-16,149.11,"72/72",316900,"299900","293000",97.7,95776
"1789 Losoya Dr","Woodland","3-4","3 (2 1)",1902,4356,"sf","1999",2013-06-07,154.57,"6/6",319000,"319000","294000",92.16,95776
"1950 Vaca Ct","Woodland","4","3 (3 0)",2108,0.06,"ac","2007",2013-07-12,139.94,"7/7",285000,"285000","295000",103.51,95776
"1949 Hackett Dr","Woodland","4","3 (3 0)",2161,0.14,"ac","1995",2013-11-08,136.51,"7/7",295000,"295000","295000",100,95776
"881 Bourn","Woodland","3-4","2 (2 0)",1779,0.13,"ac","1998",2013-12-13,165.82,"7/7",299500,"299500","295000",98.5,95776
"1820 Rominger Ct","Woodland","4","3 (2 1)",2200,NA,NA,"2012",2013-07-15,135.91,"21/21",290000,"290000","299000",103.1,95776
"1024 Powers Cir","Woodland","3-4","2 (2 0)",1738,5663,"sf","1995",2013-07-11,172.61,"10/10",309900,"307000","300000",97.72,95776
"1020 Powers Cir","Woodland","3-4","2 (2 0)",1738,0.13,"ac","1995",2013-07-22,172.61,"81/81",315000,"309000","300000",97.09,95776
"1748 Farnham Ave","Woodland","4","3 (2 1)",2286,0.11,"ac","2004",2013-12-27,131.23,"70/70",309500,"309500","300000",96.93,95776
"4 Gwinn Ct","Woodland","3","3 (2 1)",2400,0.18,"ac","2003",2013-03-29,126.25,"10/10",299000,"299000","303000",101.34,95776
"1979 Fisher Ln","Woodland","4","2 (2 0)",1965,0.13,"ac","1997",2013-06-12,154.33,"7/7",288000,"288000","303250",105.3,95776
"763 Elston Way","Woodland","4","3 (2 1)",2408,0.11,"ac","2003",2013-04-09,127.91,"4/4",289900,"289900","308000",106.24,95776
"1601 Gillette Dr","Woodland","3","2 (2 0)",1813,0.15,"ac","2001",2013-08-22,170.44,"7/7",309000,"309000","309000",100,95776
"1809 Losoya Dr","Woodland","3-4","2 (2 0)",1858,0.15,"ac","1998",2013-08-12,166.85,"13/13",319000,"310000","310000",100,95776
"1856 Gable Dr","Woodland","4","3 (2 1)",2290,0.13,"ac","2005",2013-04-11,135.37,"34/34",325000,"325000","310000",95.38,95776
"956 Lusk Dr","Woodland","4","3 (2 1)",2315,0.21,"ac","2003",2013-03-29,136.07,"2/2",315000,"315000","315000",100,95776
"1664 Hatcher Dr","Woodland","3-4","4 (3 1)",2363,0.1,"ac","2005",2013-05-17,133.73,"5/5",299900,"320000","316000",98.75,95776
"1108 Powers Cir","Woodland","4","3 (2 1)",2320,0.13,"ac","1996",2013-10-23,136.21,"26/26",289900,"289900","316000",109,95776
"863 Wallace Dr","Woodland","4-5","3 (3 0)",2259,0.11,"ac","1996",2013-07-17,140.77,"16/16",300000,"300000","318000",106,95776
"1830 Losoya Dr","Woodland","4-5","3 (3 0)",2487,0.16,"ac","1998",2013-04-25,128.27,"19/19",307125,"307125","319000",103.87,95776
"1817 E Gum Ave","Woodland","5","3 (3 0)",2884,0.13,"ac","1997",2013-03-08,110.96,"17/17",329900,"329900","320000",97,95776
"971 Witham Dr","Woodland","3-4","2 (2 0)",1965,0.15,"ac","1997",2013-08-20,162.85,"7/7",299000,"299000","320000",107.02,95776
"611 Laugenour Dr","Woodland","4","3 (3 0)",2200,0.1,"ac","2003",2013-08-15,147.73,"6/6",315000,"315000","325000",103.17,95776
"956 Duncan","Woodland","4","3 (2 1)",2110,0.18,"ac","1997",2013-06-14,156.4,"15/15",315000,"315000","330000",104.76,95776
"765 Laugenour Dr","Woodland","3","2 (2 0)",1959,0.17,"ac","2003",2013-10-16,172.54,"8/8",335600,"335600","338000",100.72,95776
"789 Laugenour Dr","Woodland","3","2 (2 0)",2056,0.14,"ac","2002",2013-10-16,168.77,"9/9",349900,"349900","347000",99.17,95776
"1843 Olvera Dr","Woodland","4-5","3 (3 0)",2513,0.148,"ac","1997",2013-09-19,139.28,"26/26",350000,"350000","350000",100,95776
"14 Mulcahy Ct","Woodland","4","3 (2 1)",2197,0.16,"ac","1997",2013-08-09,159.76,"4/4",239000,"339000","351000",103.54,95776
"1860 Gable Dr","Woodland","5","3 (3 0)",2884,0.13,"ac","2005",2013-07-19,133.84,"12/12",384900,"390000","386000",98.97,95776
"1831 Mezger Dr","Woodland","5","3 (3 0)",2463,4274,"sf","2011",2013-11-01,158.87,"14/14",391290,"391290","391290",100,95776
"46 Collins Pl","Woodland","5","3 (3 0)",2513,6970,"sf","1997",2013-11-01,159.17,"45/45",425000,"415000","400000",96.39,95776
"1864 Olvera Dr","Woodland","5","3 (3 0)",2803,0.1339,"ac","1997",2013-10-03,144.49,"15/15",399900,"399900","405000",101.28,95776
"2791 Liberty Ln","Woodland","2","1 (1 0)",803,0.07,"ac","2006",2013-03-21,242.84,"7/7",175000,"175000","195000",111.43,95776
"2117 Village Ln","Woodland","3","2 (2 0)",1216,0.06,"ac","2007",2013-03-28,168.59,"14/14",215000,"215000","205000",95.35,95776
"2570 Allen Cir","Woodland","3","2 (2 0)",1651,0.1,"ac","2006",2013-03-22,127.2,"9/9",197600,"197600","210000",106.28,95776
"2678 Shinn Pl","Woodland","3","3 (2 1)",2684,0.14,"ac","2006",2013-02-25,93.14,"4/4",240000,"240000","250000",104.17,95776
"2541 Ortiz Ave","Woodland","3","2 (2 0)",1654,0.1,"ac","2007",2013-04-24,161.73,"8/8",255900,"255900","267500",104.53,95776
"2666 N Garrett Way","Woodland","3","2 (2 0)",1731,0.12,"ac","2007",2013-09-11,157.13,"56/104",295000,"280000","272000",97.14,95776
"2744 Farmers Central R","Woodland","3","3 (2 1)",2121,0.1,"ac","2007",2013-11-22,129.66,"11/11",279900,"279900","275000",98.25,95776
"1705 Hoffman St","Woodland","3","2 (2 0)",1516,0.1,"ac","2012",2013-11-06,184.12,"83/83",295000,"275000","279125",101.5,95776
"2795 Garrett Pl","Woodland","3-4","3 (2 1)",2514,NA,NA,"2006",2013-04-25,111.38,"12/12",255000,"280200","280000",99.93,95776
"1917 Boyle Pl","Woodland","3-4","3 (2 1)",2465,0.14,"ac","2008",2013-03-07,114,"8/8",265000,"280000","281000",100.36,95776
"2735 Nicolson Cir","Woodland","3","3 (2 1)",1899,0.07,"ac","2006",2013-08-22,148.5,"83/83",327000,"261000","282000",108.05,95776
"2654 Nicolson Cir","Woodland","3","3 (2 1)",2151,0.08,"ac","2007",2013-05-06,132.5,"22/22",300000,"300000","285000",95,95776
"1910 Erickson Way","Woodland","3","2 (2 0)",1651,0.12,"ac","2009",2013-10-21,175.35,"42/42",289500,"289500","289500",100,95776
"1808 Campos Ave","Woodland","3","3 (2 1)",2520,0.13,"ac","2006",2013-05-10,115.08,"8/8",274900,"274900","290000",105.49,95776
"2659 Ortiz Ave","Woodland","3","2 (2 0)",1651,0.13,"ac","2009",2013-06-19,176.26,"8/8",290000,"290000","291000",100.34,95776
"2779 Holland Pl","Woodland","3","2 (2 0)",2346,0.14,"ac","2006",2013-03-01,124.04,"21/21",284900,"284900","291000",102.14,95776
"2724 Farmers Central R","Woodland","3","3 (2 1)",2043,0.08,"ac","2007",2013-11-15,144.4,"32/32",311500,"311500","295000",94.7,95776
"2001 Sander St","Woodland","4","3 (2 1)",2500,0.17,"ac","2007",2013-01-11,120,"37/37",310000,"310000","300000",96.77,95776
"2355 Aguilar Pl","Woodland","5","4 (4 0)",2959,0.15,"ac","2008",2013-06-21,103.41,"69/69",299999,"299999","306000",102,95776
"2800 Shoemaker Ct","Woodland","3","2 (2 0)",1651,0.16,"ac","2009",2013-10-29,190.79,"22/22",295000,"295000","315000",106.78,95776
"2382 Ackley Pl","Woodland","3","2 (2 0)",1904,0.12,"ac","2008",2013-04-10,167.02,"10/10",329000,"329000","318000",96.66,95776
"2359 Ackley Pl","Woodland","4","4 (3 1)",3217,0.15,"ac","2007",2013-03-29,99.52,"108/108",399900,"319900","320168",100.08,95776
"2201 Ragen","Woodland","3","2 (2 0)",1838,0.15,"ac","2009",2013-05-31,175.73,"7/7",308000,"308000","323000",104.87,95776
"2787 Ortiz Pl","Woodland","3","2 (2 0)",1975,0.12,"ac","2006",2013-10-31,164.81,"29/29",329000,"329000","325500",98.94,95776
"1330 Newton Dr","Woodland","4","3 (3 0)",2596,6300,"sf","Under C",2013-02-15,126.51,"210/210",316000,"333000","328420",98.62,95776
"1708 Hoffman St","Woodland","4","2 (2 0)",1943,5250,"sf","Under C",2013-06-20,169.81,"27/27",334945,"329945","329945",100,95776
"1908 Campos Ave","Woodland","3","2 (2 0)",1975,0.13,"ac","2009",2013-08-30,167.09,"10/97",339000,"339000","330000",97.35,95776
"1832 Meikle Ave","Woodland","3-4","2 (2 0)",1904,6098,"sf","2008",2013-09-13,174.37,"9/9",330000,"330000","332000",100.61,95776
"2779 Shinn Ct","Woodland","4","2 (2 0)",2500,0.16,"ac","2000",2013-05-30,134,"19/19",296800,"296800","335000",112.87,95776
"1804 Miekle Avenue","Woodland","3","2 (2 0)",1904,0.14,"ac","2008",2013-10-01,177.52,"42/42",355000,"340000","338000",99.41,95776
"2209 Armus St","Woodland","3","2 (2 0)",1830,0.14,"ac","2008",2013-07-09,186.75,"25/25",359900,"355000","341750",96.27,95776
"1363 Hadley Dr","Woodland","4","2 (2 0)",1943,6635,"sf","Under C",2013-09-24,177.36,"24/24",344609,"344609","344609",100,95776
"2374 Ortiz Ave","Woodland","3","2 (2 0)",1904,0.12,"ac","2006",2013-08-19,181.2,"9/9",345000,"345000","345000",100,95776
"1742 Campos St","Woodland","3","2 (2 0)",1975,0.16,"ac","2007",2013-09-23,174.68,"33/33",350000,"350000","345000",98.57,95776
"2799 Ortiz Pl","Woodland","4-5","4 (3 1)",3536,0.16,"ac","2007",2013-04-05,97.66,"20/20",339900,"329800","345311",104.7,95776
"2133 Holman St","Woodland","3-4","3 (2 1)",2264,6534,"sf","2009",2013-06-17,153.27,"5/5",325000,"325000","347000",106.77,95776
"2220 Ragen St","Woodland","3-4","3 (2 1)",2264,0.17,"ac","2009",2013-12-10,154.59,"24/24",370000,"370000","350000",94.59,95776
"2120 Holman","Woodland","3-4","2 (2 0)",1838,0.14,"ac","2010",2013-12-17,193.14,"7/7",340000,"340000","355000",104.41,95776
"1612 Flores","Woodland","3","3 (2 1)",2000,0.15,"ac","2010",2013-07-12,178,"28/28",359000,"359000","356001",99.16,95776
"2206 Armus St","Woodland","3","2 (2 0)",2056,0.15,"ac","2008",2013-08-23,175.05,"52/52",370000,"359900","359900",100,95776
"2213 Armus St","Woodland","5","4 (4 0)",2712,0.16,"ac","2009",2013-05-10,132.74,"12/12",350000,"350000","360000",102.86,95776
"2667 E Ortiz Ave","Woodland","4","3 (2 1)",2450,0.13,"ac","2008",2013-09-09,146.94,"7/7",355000,"365000","360000",98.63,95776
"2767 Garrett Pl","Woodland","3-4","3 (2 1)",2329,5400,"sf","2006",2013-11-07,158.01,"71/71",425000,"398000","368000",92.46,95776
"1346 Newton Dr","Woodland","4","3 (3 0)",3101,6300,"sf","Under C",2013-02-28,118.73,"50/50",371754,"386754","368174",95.2,95776
"2354 Ortiz Ave","Woodland","4","3 (2 1)",2394,0.14,"ac","2006",2013-09-06,154.14,"4/4",359000,"359000","369000",102.79,95776
"2678 Shinn Pl","Woodland","3","2 (2 0)",2865,0.14,"ac","2006",2013-10-23,128.8,"13/13",369900,"369900","369000",99.76,95776
"2383 Galvin Way","Woodland","4","3 (3 0)",2355,0.14,"ac","2007",2013-08-30,157.11,"3/3",375000,"375000","370000",98.67,95776
"1319 Newton Dr","Woodland","4","3 (3 0)",2823,5844,"sf","Under C",2013-05-30,134.61,"188/188",347789,"392478","380000",96.82,95776
"2358 Delgado Pl","Woodland","4","3 (2 1)",2676,0.15,"ac","2007",2013-08-22,142,"2/2",369900,"369900","380000",102.73,95776
"1619 Motta St","Woodland","4-5","4 (3 1)",2712,0.15,"ac","2009",2013-07-31,142.33,"3/3",375000,"375000","386000",102.93,95776
"2117 Ragen Pl","Woodland","4","3 (3 0)",2559,0.14,"ac","2009",2013-06-14,152.4,"53/53",395000,"395000","390000",98.73,95776
"1739 Pearl St","Woodland","4","3 (3 0)",2190,5885,"sf","Under C",2013-09-24,181.47,"10/10",396150,"397420","397420",100,95776
"2108 Holman St","Woodland","4","3 (3 0)",2667,6970,"sf","2009",2013-08-09,149.61,"8/8",399000,"399000","399000",100,95776
"2686 Briscoe Pl","Woodland","4","4 (3 1)",3555,6534,"sf","2007",2013-12-12,113.22,"67/67",465000,"412500","402500",97.58,95776
"2784 Briscoe Ct","Woodland","4-6","3 (2 1)",3528,0.15,"ac","2006",2013-12-12,114.09,"66/66",428000,"418000","402500",96.29,95776
"1326 Hadley Dr","Woodland","4","3 (3 0)",2802,5775,"sf","Under C",2013-12-27,146.32,"171/171",407000,"410000","410000",100,95776
"1330 Hadley Dr","Woodland","4","3 (3 0)",2596,5775,"sf","Under C",2013-10-25,158.28,"28/28",407340,"407340","410894",100.87,95776
"1727 Pearl St","Woodland","4","3 (3 0)",2823,5956,"sf","Under C",2013-09-13,148.44,"10/10",419052,"419052","419052",100,95776
"2205 Marston Dr","Woodland","4","3 (3 0)",2667,0.15,"ac","2008",2013-08-19,157.48,"18/18",395000,"395000","420000",106.33,95776
"2007 celebration","Woodland","5","4 (3 1)",3063,0.2,"ac","2006",2013-06-05,146.91,"11/11",349900,"349900","450000",128.61,95776
"2004 Promenade Dr","Woodland","4","3 (3 0)",2700,0.18,"ac","2005",2013-05-22,166.67,"105/105",495000,"455000","450000",98.9,95776
"2379 Mcnary Way","Woodland","5","4 (3 1)",3208,0.16,"ac","2008",2013-11-27,140.27,"4/4",459000,"459000","450000",98.04,95776
"19871-95 East St","Woodland","3","2 (2 0)",1849,18.16,"ac","1960",2013-02-22,351.54,"37/37",779000,"779000","650000",83.44,95776
"1247 Armfield Ave","Woodland","3","1 (1 0)",1101,0.2407,"ac","1929",2014-04-30,154.41,"48/48",189000,"189,000","170000",89.95,95776
"1002 Gum Ave","Woodland","3","3 (3 0)",1640,7140,"sf","1945",2014-06-24,157.32,"60/60",259000,"259,900","258000",99.27,95776
"1459 Garfield Ct","Woodland","4","3 (2 1)",1678,0.241,"ac","1987",2014-06-27,65.55,"33/33",272950,"109,900","110000",100.09,95776
"816 Barbara","Woodland","3","2 (2 0)",1300,7815,"sf","1959",2014-04-04,150,"185/185",230000,"220,000","195000",88.64,95776
"1448 Westland Ranch D","Woodland","2-3","2 (2 0)",1123,NA,NA,"1986",2014-03-28,174.53,"47/47",179000,"196,000","196000",100,95776
"1309 Monroe Ct","Woodland","3","2 (2 0)",1296,0.125,"ac","1986",2014-12-17,151.23,"19/19",299500,"199,500","196000",98.25,95776
"1314 Molly Ave","Woodland","3","2 (1 1)",1040,0.1446,"ac","Unknown",2014-09-11,192.31,"47/47",219900,"209,900","200000",95.28,95776
"646 Dodds Dr","Woodland","3","2 (2 0)",1480,0.138,"ac","1975",2014-04-17,135.14,"18/18",159000,"159,000","200000",125.79,95776
"800 helen","Woodland","3","1 (1 0)",1350,0.1794,"ac","1955",2014-03-03,157.78,"63/63",240000,"210,000","213000",101.43,95776
"1393 Colfax Pl","Woodland","3","2 (2 0)",1303,4356,"sf","1985",2014-05-02,165,"51/51",229900,"219,900","215000",97.77,95776
"1454 Tyler Pl","Woodland","3","2 (2 0)",1100,0.132,"ac","1988",2014-04-18,195.45,"3/3",220000,"220,000","215000",97.73,95776
"920 Stetson","Woodland","2-3","2 (2 0)",1123,0.139,"ac","1985",2014-04-14,191.45,"6/6",215000,"215,000","215000",100,95776
"720 Thomas St","Woodland","3","2 (2 0)",1070,6000,"sf","1962",2014-07-30,205.61,"10/10",210000,"210,000","220000",104.76,95776
"1573 Owens Valley","Woodland","3","3 (2 1)",1439,0.1,"ac","1990",2014-05-30,154.97,"8/8",252000,"252,000","223000",88.49,95776
"1306 BETTY Ave","Woodland","3","1 (1 0)",1725,0.1446,"ac","1973",2014-06-11,130.43,"0/269",229000,"229,000","225000",98.25,95776
"1376 Dodds Dr","Woodland","3","2 (2 0)",1223,0.1886,"ac","1974",2014-09-24,183.97,"69/69",244000,"219,000","225000",102.74,95776
"741 Brookside Dr","Woodland","4","2 (2 0)",1650,0.155,"ac","1986",2014-01-31,136.36,"18/18",235000,"225,000","225000",100,95776
"1394 Dodds Dr","Woodland","3","2 (2 0)",1135,0.1811,"ac","1976",2014-04-03,200,"17/92",229000,"229,000","227000",99.13,95776
"1241 Depot St","Woodland","3","2 (2 0)",1168,0.2035,"ac","1957",2014-06-10,196.92,"57/57",239900,"230,000","230000",100,95776
"1229 Camphor Dr","Woodland","2-3","2 (2 0)",1589,0.115,"ac","1989",2014-06-11,152.3,"8/8",242000,"242,000","242000",100,95776
"1559 Squaw Valley Dr","Woodland","3","3 (2 1)",1728,0.1,"ac","1991",2015-01-21,141.78,"54/54",270000,"260,000","245000",94.23,95776
"614 Thomas St","Woodland","4","3 (3 0)",1417,6970,"sf","1974",2014-08-12,175.02,"7/7",245000,"245,000","248000",101.22,95776
"1326 Leo Way","Woodland","3","2 (2 0)",1046,0.1525,"ac","1974",2014-11-21,239.01,"5/23",250000,"250,000","250000",100,95776
"1416 Towse","Woodland","3","2 (2 0)",1589,0.135,"ac","1988",2014-03-28,157.33,"81/81",274900,"249,900","250000",100.04,95776
"1527 Squaw Valley Dr","Woodland","3","2 (2 0)",1463,0.1047,"ac","1990",2014-11-26,172.25,"88/88",255000,"249,000","252000",101.2,95776
